ctime,openid,helloid,song,level
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,追风筝的孩子,8
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,独角戏,8
2018-01-26,0,12076124,我们的明天,1
2018-01-26,0,12076124,默,1
2018-01-26,0,12076124,深海,4
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,最熟悉的陌生人,11
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,双失情人节,2
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,明年今日,2
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,爱之初体验,1
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,说谎,2
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,小小,2
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,小风波,1
2018-01-26,oVdz500HAhN0TsFfaUlxqPxRQx0M,0,雨季不再来,2
2018-01-26,oVdz509Eu7VAZpmdEg90btfe3VjM,0,意外,1
2018-01-26,oVdz509Eu7VAZpmdEg90btfe3VjM,0,电音之王,1
2018-01-26,oVdz500qAWlhikWqI_MIYUPHpFfQ,0,独家记忆,1
2018-01-26,oVdz500qAWlhikWqI_MIYUPHpFfQ,0,够钟,1
2018-01-26,oVdz500qAWlhikWqI_MIYUPHpFfQ,0,红日,1
2018-01-26,oVdz500qAWlhikWqI_MIYUPHpFfQ,0,我不配,5
2018-01-26,oVdz504a8FWSRy8AaKLr-1931sUw,0,暗涌,2
2018-01-26,oVdz504a8FWSRy8AaKLr-1931sUw,0,情人,1
2018-01-26,oVdz504a8FWSRy8AaKLr-1931sUw,0,飘雪,3
2018-01-26,oVdz504oErv-mThn65aVoxV8igK4,0,画心,2
2018-01-26,oVdz504oErv-mThn65aVoxV8igK4,0,等,6
2018-01-26,oVdz504oErv-mThn65aVoxV8igK4,0,身骑白马,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,你是我的眼,3
2018-01-26,oVdz504oErv-mThn65aVoxV8igK4,0,倒刺,5
2018-01-26,0,18052817,有没有,5
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,没那么简单,14
2018-01-26,oVdz504oErv-mThn65aVoxV8igK4,0,千千阙歌,4
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,没那么简单,11
2018-01-26,oVdz504oErv-mThn65aVoxV8igK4,0,梦里花,1
2018-01-26,oVdz50whpwRrfc8jXoj0VF4nur_I,0,过火,1
2018-01-26,oVdz502OfLx_MIoTMpDwcOH8VIAk,0,无赖,4
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,你是我的眼,10
2018-01-26,oVdz502OfLx_MIoTMpDwcOH8VIAk,0,偏偏喜欢你,5
2018-01-26,0,18052817,远走高飞,3
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,过火,16
2018-01-26,oVdz502OfLx_MIoTMpDwcOH8VIAk,0,男儿当自强,1
2018-01-26,oVdz50whpwRrfc8jXoj0VF4nur_I,0,泡沫,1
2018-01-26,0,18052817,远走高飞,1
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,离歌,5
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,画心,5
2018-01-26,0,18052817,有点甜,10
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,王妃,3
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,类似爱情,12
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,好心分手,5
2018-01-26,oVdz500j501qVvvlCAbQmUYAJdbk,0,你是我的眼,1
2018-01-26,oVdz502OfLx_MIoTMpDwcOH8VIAk,0,摘星的晚上,4
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,我的好兄弟,6
2018-01-26,oVdz505QBon249TrIdEAP5H_eVAw,0,天下,6
2018-01-26,oVdz504oErv-mThn65aVoxV8igK4,0,新娘不是我,7
2018-01-26,oVdz502OfLx_MIoTMpDwcOH8VIAk,0,有没有一首歌会让你想起我,6
